City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,afaahiti,-17.75,-149.2833,303.08,82,100,11.63,PF,1701641109
249,avanigadda,16.0215,80.9181,297.56,90,100,6.83,IN,1701641501
250,isafjordur,66.0755,-23.124,275.95,62,92,7.37,IS,1701641073
251,nuuk,64.1835,-51.7216,271.49,80,40,1.54,GL,1701641128
252,mawu,29.5923,107.3139,283.62,88,90,0.78,CN,1701641502
253,kudahuvadhoo,2.6708,72.8944,300.12,81,100,4.08,MV,1701641083
254,chebarkul',54.9749,60.3633,260.13,94,86,1.07,RU,1701641502
255,butterworth,5.3991,100.3638,299.89,89,20,3.09,MY,1701641502
256,calingasta,-31.3308,-69.4078,294.5,18,0,6.86,AR,1701641502
257,edeia,-17.3383,-49.9314,299.66,61,58,2.23,BR,1701641502
258,baijiantan,45.6333,85.1833,274.59,55,100,2.77,CN,1701641136
259,barcelos,41.5388,-8.6151,285.88,95,100,6.8,PT,1701641111
260,sur,22.5667,59.5289,297.19,59,0,2.7,OM,1701641137
261,revda,56.801,59.9303,257.86,99,97,0.99,RU,1701641503
262,zarechnyy,53.2036,45.1923,274.11,98,100,4.92,RU,1701641503
263,hede,33.7681,120.2517,276.52,67,87,3.08,CN,1701641503
264,sao joao da barra,-21.6403,-41.0511,299.2,87,27,8.85,BR,1701641035
265,akureyri,65.6835,-18.0878,270.11,100,75,1.54,IS,1701641120
266,neiafu,-18.65,-173.9833,300.53,89,75,4.12,TO,1701641504
267,howrah,22.5892,88.3103,294.15,83,40,2.06,IN,1701641098
268,san antonio de pale,-1.4014,5.6325,300.12,82,64,3.41,GQ,1701641504
269,homer,59.6425,-151.5483,274.08,65,0,7.15,US,1701641504
270,westport,41.1415,-73.3579,283.17,91,100,4.02,US,1701640871
271,pisco,-13.7,-76.2167,295.18,73,0,10.29,PE,1701641147
272,puerto asis,0.5133,-76.5007,302.71,65,58,1.24,CO,1701641504
